1, 533
2, 137
3, 163
4, 614
5, 402
6, 214
7, 474
8, 494
9, 424
10, 263
11, 689
12, 294
13, 475
14, 331
15, 415
16, 746
17, 559
18, 448
19, 609
20, 508
21, 431
22, 403
23, 322
24, 307
25, 279
26, 151
27, 491
28, 718
29, 338
30, 247
31, 267
32, 519
33, 247
34, 313
35, 370
36, 315
37, 308
38, 242
39, 563
40, 193
41, 150
42, 509
43, 308
44, 602
45, 97
46, 629
47, 466
48, 367
49, 653
50, 705
51, 255
52, 400
53, 643
54, 502
55, 622
56, 129
57, 110
58, 437
59, 238
60, 474
61, 135
62, 687
63, 537
64, 302
65, 669
66, 658
67, 329
68, 618
69, 565
70, 173
71, 506
72, 502
73, 421
74, 297
75, 124
76, 302
77, 507
78, 383
79, 244
80, 685
81, 385
82, 491
83, 733
84, 510
85, 236
86, 545
87, 342
88, 151
89, 294
90, 138
91, 504
92, 158
93, 176
94, 111
95, 259
96, 402
97, 106
98, 348
99, 431
100, 390
101, 130
102, 418
103, 169
104, 671
105, 650
106, 521
107, 320
108, 375
109, 740
110, 398
111, 638
112, 200
113, 413
114, 168
115, 118
116, 759
117, 494
118, 274
119, 421
120, 421
121, 566
122, 394
123, 725
124, 206
125, 428
126, 313
127, 312
128, 100
129, 279
130, 422
131, 431
132, 352
133, 136
134, 461
135, 761
136, 705
137, 627
138, 494
139, 321
140, 330
141, 716
142, 440
143, 463
144, 94
145, 397
146, 715
147, 114
148, 707
149, 478
150, 602
151, 524
152, 475
153, 492
154, 365
155, 687
156, 102
157, 508
158, 283
159, 316
160, 372
161, 291
162, 501
163, 454
164, 545
165, 295
166, 444
167, 106
168, 221
169, 380
170, 560
171, 529
172, 564
173, 265
174, 314
175, 736
176, 426
177, 321
178, 234
179, 531
180, 123
181, 160
182, 341
183, 438
184, 631
185, 105
186, 409
187, 238
188, 494
189, 631
190, 735
191, 504
192, 279
193, 723
194, 597
195, 350
196, 456
197, 570
198, 174
199, 297
200, 481
201, 420
202, 305
203, 121
204, 293
205, 512
206, 368
207, 231
208, 436
209, 332
210, 295
211, 510
212, 301
213, 97
214, 522
215, 141
216, 662
217, 126
218, 585
219, 452
220, 446
221, 642
222, 719
223, 588
224, 300
225, 702
226, 132
227, 372
228, 148
229, 401
230, 234
231, 498
232, 453
233, 476
234, 471
235, 612
236, 321
237, 492
238, 369
239, 391
240, 144
241, 514
242, 493
243, 423
244, 510
245, 279
246, 621
247, 342
248, 150
249, 297
250, 518
251, 455
252, 474
253, 158
254, 109
255, 115
256, 460
257, 101
258, 304
259, 359
260, 353
261, 628
262, 249
263, 673
264, 541
265, 661
266, 297
267, 160
268, 307
269, 533
270, 413
271, 433
272, 692
273, 407
274, 721
275, 611
276, 705
277, 458
278, 664
279, 519
280, 348
281, 457
282, 170
283, 493
284, 186
285, 329
286, 252
287, 288
288, 545
289, 251
290, 316
291, 426
292, 325
293, 298
294, 231
